Tickers,Shares,Purchase,Price,Change%,Change$,Cost,Value,Gain %,Gain $,TickerName,Area
AMD,38.00,52.93,86.94,0.03,83.60,2011.359487,3303.72,0.64,1292.360513,Advanced Micro Devices Inc,Information Technology
AKAM,46.00,102.47,97.54,0.00,-4.60,4713.4728,4486.84,-0.05,-226.6328,Akamai Technologies Inc,Information Technology
APH,55.00,104.09,129.55,0.02,118.80,5724.95,7125.25,0.24,1400.3,Amphenol Corp,Information Technology
CSCO,73.00,44.31,45.74,0.01,16.79,3234.487792,3339.02,0.03,104.5322078,Cisco Systems,Information Technology
INTC,36.00,58.89,63.19,0.03,74.52,2120.013,2274.84,0.07,154.827,Intel Corp.,Information Technology
IBM,43.00,129.22,123.21,0.02,107.50,5556.609184,5298.03,-0.05,-258.5791837,International Business Machines,Information Technology
INTU,53.00,292.75,413.18,0.04,746.77,15515.55727,21898.54,0.41,6382.982727,Intuit Inc.,Information Technology
IPGP,80.00,158.29,231.08,0.01,184.00,12662.94545,18486.4,0.46,5823.454545,IPG Photonics Corp.,Information Technology
BAX,59.00,80.61,78.51,0.00,21.83,4755.940833,4632.09,-0.03,-123.8508333,Baxter International Inc.,Health Care
GILD,47.00,66.92,63.71,0.00,1.41,3145.367292,2994.37,-0.05,-150.9972917,Gilead Sciences,Health Care
HCA,41.00,125.90,175.43,0.00,14.76,5161.922778,7192.63,0.39,2030.707222,HCA Healthcare,Health Care
HSIC,58.00,64.73,65.01,-0.01,-35.38,3754.454242,3770.58,0.00,16.12575758,Henry Schein,Health Care
PFE,67.00,35.33,33.75,0.00,-10.72,2367.02625,2261.25,-0.04,-105.77625,Pfizer Inc.,Health Care
C,53.00,60.77,68.60,0.03,98.58,3220.55,3635.8,0.13,415.25,Citigroup Inc.,Financials
CFG,52.00,30.51,46.38,0.04,100.36,1586.693333,2411.76,0.52,825.0666667,Citizens Financial Group,Financials
GS,29.00,226.37,330.64,0.04,331.47,6564.670294,9588.56,0.46,3023.889706,Goldman Sachs Group,Financials
HIG,82.00,45.76,53.15,0.02,104.96,3752.001111,4358.3,0.16,606.2988889,Hartford Financial Svc.Gp.,Financials
HBAN,77.00,10.57,16.22,0.03,38.50,814.044,1248.94,0.53,434.896,Huntington Bancshares,Financials
JPM,61.00,109.25,153.26,0.02,161.65,6664.358226,9348.86,0.40,2684.501774,JPMorgan Chase & Co.,Financials
KEY,54.00,14.23,21.54,0.04,42.66,768.57,1163.16,0.51,394.59,KeyCorp,Financials
AMGN,36.00,226.49,229.99,-0.01,-88.92,8153.771707,8279.64,0.02,125.8682927,Amgen Inc.,Health Care
ANTM,30.00,273.17,305.79,0.00,36.30,8194.98,9173.7,0.12,978.72,Anthem,Health Care
MDT,25.00,101.41,118.74,0.01,18.50,2535.294643,2968.5,0.17,433.2053571,Medtronic plc,Health Care
CINF,29.00,83.51,100.89,0.03,71.92,2421.886667,2925.81,0.21,503.9233333,Cincinnati Financial,Financials
ICE,35.00,97.82,111.46,0.00,1.40,3423.76,3901.1,0.14,477.34,Intercontinental Exchange,Financials
IVZ,50.00,12.46,23.26,0.03,34.00,623.0576923,1163,0.87,539.9423077,Invesco Ltd.,Financials
CDW,7.00,119.44,162.10,0.03,37.24,836.0927273,1134.7,0.36,298.6072727,CDW,Information Technology
CDNS,25.00,103.69,139.42,0.05,170.50,2592.362069,3485.5,0.34,893.137931,Cadence Design Systems,Information Technology